Title,Company,Location,Experience,Posted,Skills,URL
Data Modelling + Data Analyst + Python -T2 /Hyd,Virtusa,Hyderabad,8-13 Yrs,2 days ago,"python, data analysis, relational databases, sql, data modeling, bi, power bi, business analysis",https://www.naukri.com/job-listings-data-modelling-data-analyst-python-t2-hyd-virtusa-consulting-services-pvt-ltd-hyderabad-8-to-13-years-010825923673
Data Analyst,Virtusa,Hyderabad,7-12 Yrs,2 days ago,"hive, sql, spark, hadoop, python, continuous integration, scala, bi",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-7-to-12-years-010825923180
Cybersecurity Data Analyst,Stack Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,2 days ago,"Computer science, Data analysis, Data modeling, Analytical, Data quality, data visualization, VMS, Performance improvement",https://www.naukri.com/job-listings-cybersecurity-data-analyst-stack-digital-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-7-years-010825504082
Data Analyst,.,Bengaluru,6-8 Yrs,6 days ago,"Azure Data Factory, PowerShell, Power Automate, Databricks, SQL Server, Power Bi, Bi, Data analysis",https://www.naukri.com/job-listings-data-analyst-trigent-software-bengaluru-6-to-8-years-280725013565
"Data Eng, Mgmt & Governance Analyst",Accenture,Gurugram,3-5 Yrs,6 days ago,"data analysis, data management, gap analysis, sql, data visualization, project management, python, data analytics",https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-gurugram-3-to-5-years-280725913129
Data Analyst,IT Professional Services,Bengaluru,6-8 Yrs,6 days ago,"Azure Data Factory, PowerShell, Power Automate, Databricks, SQL Server, Power Bi, Azure Data Lake, Python",https://www.naukri.com/job-listings-data-analyst-trigent-software-bengaluru-6-to-8-years-280725012492
Exciting Data Analysts,Digital Solution Tech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,2 days ago,"Procurement, Computer science, Construction, Excel, Analytical, power bi, Data quality, Data Analyst",https://www.naukri.com/job-listings-exciting-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-010825502005
Data Analyst,Peritus,Bengaluru,6-10 Yrs,2 days ago,"analytical tools, Tableau, SQL, Data, Data analysis, Tools, Analytical instruments, Analytics",https://www.naukri.com/job-listings-data-analyst-peritus-bengaluru-6-to-10-years-010825022073
Data and Legal Analyst,Alphastream Technologies,Bengaluru,0-3 Yrs,3 days ago,"covenants, private credit, Credit Agreement, Corporate Law, Private Equity, Analysis, Legal, commercial lending",https://www.naukri.com/job-listings-data-and-legal-analyst-alphastream-technologies-bengaluru-0-to-3-years-310725029872
Data Analyst (IoT),Log9 Materials,Bengaluru,0-6 Yrs,3+ weeks ago,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",https://www.naukri.com/job-listings-data-analyst-iot-log9-materials-bengaluru-0-to-6-years-110325506630
Data Analyst,Homelane,Bengaluru,2-5 Yrs,4 days ago,"python, market research, data engineering, business intelligence, sql, data analysis, ssas, mathematics",https://www.naukri.com/job-listings-data-analyst-homevista-decor-and-furnishings-private-ltd-bengaluru-2-to-5-years-300725923017
Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Bengaluru,2-5 Yrs,6 days ago,"data analysis, data management, tririga, hrsd, tableau, python, real estate, machine learning",https://www.naukri.com/job-listings-space-data-analyst-jones-lang-lasalle-property-consultants-india-pv-t-ltd-bengaluru-2-to-5-years-280725922786
Data Governance - Analyst,RBL Bank,"Thane, Navi Mumbai, Mumbai (All Areas)",4-6 Yrs,6 days ago,"Data Integrity, Data Lineage, Data Governance Analyst, Data Analytics, Data Governance, ADF, data management life cycle, Data Management",https://www.naukri.com/job-listings-data-governance-analyst-rbl-bank-thane-navi-mumbai-mumbai-all-areas-4-to-6-years-090625005876
Python Data Analyst,MSCI Services,Pune,2-4 Yrs,4 days ago,"python, analytical, data, research, Analytics, Analysis, Python Data, Data analysis",https://www.naukri.com/job-listings-python-data-analyst-msci-services-pvt-ltd-pune-2-to-4-years-300725505491
Data Analyst,BP INCORPORATE INTERNATIONAL.,Pune,4-6 Yrs,1 week ago,"Manager Quality Assurance, Data management, Business analysis, Consulting, Data analytics, Data Analyst, Data mining, Statistics",https://www.naukri.com/job-listings-data-analyst-bp-incorporate-international-pune-4-to-6-years-260725500302
Data Analyst,BP INCORPORATE INTERNATIONAL.,Pune,3-6 Yrs,1 week ago,"Manager Quality Assurance, Data management, Business analysis, Consulting, Data analytics, Data Analyst, Data mining, Statistics",https://www.naukri.com/job-listings-data-analyst-bp-incorporate-international-pune-3-to-6-years-250725501705
Data Analyst,Optum,Gurugram,3-8 Yrs,6 days ago,"python, scala, pyspark, sql server, nosql, azure databricks, hive, continuous integration",https://www.naukri.com/job-listings-data-analyst-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-280725915860
Data analyst E3,Fortune Global 500 Company Engg. & Construction,Hybrid - Chennai,5-8 Yrs,5 days ago,"Power Bi, Tableau, SQL, Data Visualization, Data, E3, Data analysis, Bi",https://www.naukri.com/job-listings-data-analyst-e3-randstad-chennai-5-to-8-years-290725012446
Data Analyst,Leading Client,Hyderabad,6-10 Yrs,1 week ago,"python, data analysis, sql, tableau, etl, data analytics, data management, data mining",https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-230725931756
Data Analyst - Client :Amazon,Amazon,Pune,5-9 Yrs,1 week ago,"Power Bi, Quicksight, Tableau, SQL, Python, Bigquery, Data Visualization, Data Extraction",https://www.naukri.com/job-listings-data-analyst-client-amazon-bct-consulting-pune-5-to-9-years-210725020916
Data Analyst (FP&A),ExxonMobil,Bengaluru,3-7 Yrs,5 days ago,"Power Bi, Snowflake, SQL, Tableau, Data, Data analysis, FPA, Analysis",https://www.naukri.com/job-listings-data-analyst-fp-a-exxonmobil-bengaluru-3-to-7-years-290725019755
Data Analyst,Pathfinder Business Analysis (PFBA),Coimbatore,4-5 Yrs,1 day ago,"VBA, Data Analyst, Advanced Excel, SQL, Python, Data analysis, Data, Excel",https://www.naukri.com/job-listings-data-analyst-pathfinder-business-analysis-p-ltd-coimbatore-4-to-5-years-020825500642
Data Analyst - Proactive - GPS,Waferwire Cloud Technologies,Hyderabad,2-3 Yrs,1 day ago,"Business process, Data analysis, VLOOKUP, Business analytics, Budgeting, microsoft, Business intelligence, CRM",https://www.naukri.com/job-listings-data-analyst-proactive-gps-waferwire-cloud-technologies-hyderabad-2-to-3-years-020825500409
Data Analyst,Chandigarh University,"Unnao, Lucknow",3-5 Yrs,1 day ago,"Power Bi Dashboards, Mis Excel, Advanced Excel, Power Query, SUMIF, Filters, VLOOKUP, Conditional Formatting",https://www.naukri.com/job-listings-data-analyst-chandigarh-university-unnao-lucknow-3-to-5-years-020825004961
Data Analyst,Jade Global,"Kolkata, Hyderabad, Pune",2-6 Yrs,2 days ago,"snowflake, data analysis, data modeling, data visualization, etl, python, charts, software testing",https://www.naukri.com/job-listings-data-analyst-jade-global-software-pvt-ltd-kolkata-hyderabad-pune-2-to-6-years-010825926306
Data Analyst,Oliver Agency,Mumbai,2-5 Yrs,2 days ago,"Financial reporting, Time management, Analytical, Data collection, Data Analyst, Advanced Excel, Analytics, Financial services",https://www.naukri.com/job-listings-data-analyst-oliver-seapac-mumbai-2-to-5-years-010825502533
DATA ANALYST,Irish Expert,Thrissur,1-3 Yrs,2 days ago,"Business administration, Administration, Excel, Sales, data science, Analytical, Strategic planning, Data Analyst",https://www.naukri.com/job-listings-data-analyst-irish-expert-thrissur-1-to-3-years-010825502523
Data Analyst,Sprinklr,Bengaluru,0-3 Yrs,3+ weeks ago,"Global marketing, SAS, Analytical, Consulting, data visualization, microsoft, Forecasting, Enterprise software",https://www.naukri.com/job-listings-data-analyst-sprinklr-solutions-pvt-ltd-bengaluru-0-to-3-years-250625504396
Data Analyst,Talent Carriage,New Delhi,0-5 Yrs,3+ weeks ago,"Records management, Transition, Data analytics, Data Analyst, HR, Management, CSAT, SLAS",https://www.naukri.com/job-listings-data-analyst-talent-carriage-new-delhi-0-to-5-years-211124505955
Data Analyst,Capgemini,Bengaluru,0 Yrs,3+ weeks ago,"python, sql queries, software development, pyspark, power bi, data analysis, performance tuning, software design",https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-bengaluru-0-to-0-years-020725927301
Data Analyst,Capgemini,Bengaluru,0 Yrs,3+ weeks ago,"python, sql queries, pyspark, power bi, bi development, macros, data analysis, performance tuning",https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-bengaluru-0-to-0-years-020725927464
Data Analyst,Legistify,Gurugram,0-1 Yrs,3+ weeks ago,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",https://www.naukri.com/job-listings-data-analyst-legistify-gurugram-0-to-1-years-221124503733
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,Jaipur,0-3 Yrs,2 weeks ago,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",https://www.naukri.com/job-listings-data-analyst-ebizneeds-india-internet-solutions-pvt-ltd-jaipur-0-to-3-years-140725501950
Data Analyst,Returnonweb Consulting Services,Pune(Baner),0-2 Yrs,6 days ago,"Aptitude, Power Bi, IQ, Advanced Excel, Data, Data analysis, Excel, Bi",https://www.naukri.com/job-listings-data-analyst-returnonweb-consulting-services-pune-0-to-2-years-280725021047
Data Analyst,TELUS International,Gandhinagar,2-5 Yrs,5 days ago,"Power Bi, Spreadsheets, Advanced Excel, SQL, Python, Data, Excel, Data analysis",https://www.naukri.com/job-listings-data-analyst-telus-international-gandhinagar-2-to-5-years-290725029469
Data Analyst (Deployment),Legistify,Gurugram,0-2 Yrs,3+ weeks ago,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",https://www.naukri.com/job-listings-data-analyst-deployment-legistify-gurugram-0-to-2-years-221124503740
AI/ML Data Analyst- Visakhapatnam Port Authority,National Institute for Smart Government (NISG),Visakhapatnam,3-5 Yrs,3 days ago,"Data Wrangling, Azure Cloud, ETL, SQL, Python, Data Handling, Data Analysis, Machine Learning",https://www.naukri.com/job-listings-ai-ml-data-analyst-visakhapatnam-port-authority-national-institute-for-smart-government-nisg-visakhapatnam-3-to-5-years-300625005594
"Data Analyst, CoBRA",Amazon,Bengaluru,1-6 Yrs,1 week ago,"Product management, Computer science, Automation, Data analysis, SAS, Business analysis, SPSS, Data mining",https://www.naukri.com/job-listings-data-analyst-cobra-amazon-development-centre-india-pvt-ltd-bengaluru-1-to-6-years-230725502348
Linguistic/Localization Data Analyst,Robert Bosch Engineering and Business Solutions Private Limited,"Hosur, Bengaluru",0-6 Yrs,3 weeks ago,"Data analysis, French, VLOOKUP, Analytical, German, Spanish, Troubleshooting, MS Office",https://www.naukri.com/job-listings-linguistic-localization-data-analyst-robert-bosch-engineering-and-business-solutions-private-limited-hosur-bengaluru-0-to-6-years-120725500710
Data Analyst,Persistent,Pune,5-9 Yrs,3 days ago,"Snowflake, SQL, Python, Data, Data analysis",https://www.naukri.com/job-listings-data-analyst-persistent-pune-5-to-9-years-310725018429
Data Analyst,Quantum Leap Consulting,Hybrid - Pune,3-8 Yrs,2 days ago,"Amazon Redshift, Snowflake, Tableau, sigma, SQL, Data, Six sigma, Data analysis",https://www.naukri.com/job-listings-data-analyst-teamware-solutions-pune-3-to-8-years-010825014824
PMT - Data Analyst,Walkaroo International,Coimbatore,0-2 Yrs,2 weeks ago,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",https://www.naukri.com/job-listings-pmt-data-analyst-walkaroo-international-pvt-ltd-coimbatore-0-to-2-years-170725504064
EMAT Data Analyst,Pipecare Group,Remote,15-20 Yrs,2 days ago,"Data analysis, Manager Quality Assurance, Analytical, Inspection, Manager Technology, Data Analyst, Data quality, Refinery",https://www.naukri.com/job-listings-emat-data-analyst-pipecare-group-remote-15-to-20-years-010825502022
Data Analyst,"""Curious for Tomorrow""",Hybrid - Hyderabad,7-12 Yrs,1 day ago,"Investment Banking, Data Analyst, Informatica, ETL, Python, Equity, Derivatives, SQL",https://www.naukri.com/job-listings-data-analyst-technogen-hyderabad-7-to-12-years-020825003803
"Data Eng, Mgmt & Governance Analyst",Accenture,Mumbai,3-5 Yrs,2 days ago,"snowflake, python, sql server, sql, technical design, business analysis, power bi, data warehousing",https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-010825927617
Data Analyst,Trigent,Bengaluru,6-8 Yrs,1 week ago,"Azure Data Factory, Power Automate, Data Analyst, Databricks, PowerShell, and Power BI, SQL, Data Bricks",https://www.naukri.com/job-listings-data-analyst-trigent-software-bengaluru-6-to-8-years-230725034755
